stroke_team_id,stroke_type,admissions,proportion_of_all_with_ivt,proportion_of_all_with_mt,proportion_of_mt_with_ivt,proportion1_of_all_with_onset_known_ivt,proportion2_of_mask1_with_onset_to_arrival_on_time_ivt,proportion3_of_mask2_with_arrival_to_scan_on_time_ivt,proportion4_of_mask3_with_onset_to_scan_on_time_ivt,proportion5_of_mask4_with_enough_time_to_treat_ivt,proportion6_of_mask5_with_treated_ivt,lognorm_mu_onset_arrival_mins_ivt,lognorm_sigma_onset_arrival_mins_ivt,lognorm_mu_arrival_scan_arrival_mins_ivt,lognorm_sigma_arrival_scan_arrival_mins_ivt,lognorm_mu_scan_needle_mins_ivt,lognorm_sigma_scan_needle_mins_ivt,proportion1_of_all_with_onset_known_mt,proportion2_of_mask1_with_onset_to_arrival_on_time_mt,proportion3_of_mask2_with_arrival_to_scan_on_time_mt,proportion4_of_mask3_with_onset_to_scan_on_time_mt,proportion5_of_mask4_with_enough_time_to_treat_mt,proportion6_of_mask5_with_treated_mt,lognorm_mu_onset_arrival_mins_mt,lognorm_sigma_onset_arrival_mins_mt,lognorm_mu_arrival_scan_arrival_mins_mt,lognorm_sigma_arrival_scan_arrival_mins_mt,lognorm_mu_scan_puncture_mins_mt,lognorm_sigma_scan_puncture_mins_mt,proportion_of_all_with_mask6_and_ivt,proportion_of_all_with_mask6_and_mt
49,other,60.5,0.0,0.0,,0.842975,0.539216,0.981818,0.907407,1.0,0.0,4.670765,0.454965,3.009873,0.979756,,,0.842975,0.656863,0.985075,0.924242,1.0,0.0,4.846516,0.561539,3.097202,1.098873,,,0.0,0.0
49,mixed,391.5,0.166028,0.015326,0.416667,0.860792,0.540059,0.950549,0.907514,1.0,0.404459,4.65065,0.437804,3.077024,0.89557,3.277695,0.734996,0.860792,0.635015,0.976636,0.923445,1.0,0.028497,4.803188,0.545399,3.179902,1.038445,4.916498,0.654783,0.162197,0.014049
50,lvo,158.0,0.275316,0.231013,0.369863,0.727848,0.704348,1.0,0.987654,1.0,0.525,4.582294,0.486814,1.248351,1.361837,3.638149,0.771979,0.727848,0.808696,1.0,0.973118,1.0,0.287293,4.724037,0.58696,1.338546,1.444087,5.060966,0.805462,0.265823,0.164557
50,nlvo,457.0,0.098468,0.031729,0.310345,0.702407,0.498442,0.971875,0.913183,1.0,0.309859,4.686047,0.46356,1.743936,1.720285,3.738142,0.624763,0.702407,0.587227,0.97878,0.926829,1.0,0.055556,4.841951,0.56704,1.854788,1.791272,5.265115,0.902823,0.09628,0.020788
50,other,96.5,0.0,0.0,,0.725389,0.65,0.956044,0.908046,1.0,0.0,4.677563,0.360444,1.598909,1.694342,,,0.725389,0.721429,0.970297,0.928571,1.0,0.0,4.775806,0.45506,1.74751,1.827795,,,0.0,0.0
50,mixed,711.5,0.124385,0.07168,0.352941,0.711174,0.566206,0.977312,0.933929,1.0,0.328872,4.655366,0.45728,1.578039,1.632131,3.689308,0.70026,0.711174,0.656126,0.983434,0.940276,1.0,0.115635,4.79886,0.558948,1.691642,1.717807,5.115598,0.830996,0.120871,0.049895
51,lvo,94.0,0.218085,0.196809,0.567568,0.702128,0.765152,1.0,0.950495,1.0,0.40625,4.486332,0.48624,2.652005,1.018028,3.545708,0.889153,0.702128,0.818182,1.0,0.990741,1.0,0.336449,4.565627,0.559513,2.662665,1.035669,4.537458,0.75249,0.207447,0.191489
51,nlvo,420.0,0.070238,0.021429,0.5,0.553571,0.623656,0.937931,0.849265,1.0,0.251082,4.632735,0.508613,3.132227,1.190567,3.764254,0.571285,0.553571,0.707527,0.963526,0.886435,1.0,0.064057,4.761256,0.594066,3.301256,1.253993,4.780159,0.627916,0.069048,0.021429
51,other,57.0,0.0,0.0,,0.578947,0.727273,0.958333,0.913043,1.0,0.0,4.498262,0.488636,2.755425,1.157764,,,0.578947,0.757576,0.98,0.979592,1.0,0.0,4.54654,0.534901,2.843144,1.239997,,,0.0,0.0
51,mixed,571.0,0.087566,0.048161,0.545455,0.58056,0.662142,0.954442,0.880668,1.0,0.262873,4.584349,0.50484,2.975102,1.165251,3.676385,0.719948,0.58056,0.73454,0.973306,0.919831,1.0,0.123853,4.695827,0.58729,3.108397,1.23564,4.618358,0.716754,0.084939,0.047285
52,lvo,94.0,0.260638,0.058511,0.727273,0.87234,0.54878,0.977778,0.920455,1.0,0.555556,4.474484,0.806083,3.049222,0.701994,3.383222,0.847056,0.87234,0.658537,0.972222,1.0,1.0,0.104762,4.667092,0.853876,3.085609,0.678536,5.258183,0.295534,0.239362,0.058511
52,nlvo,370.0,0.033784,0.001351,0.0,0.766216,0.31746,0.888889,0.8,1.0,0.164062,4.524196,0.981245,3.605936,0.972931,3.7621,0.534624,0.766216,0.426808,0.946281,0.834061,1.0,0.0,4.814318,0.981829,3.766961,1.043182,,,0.028378,0.0
52,other,43.5,0.0,0.0,,0.781609,0.544118,0.918919,0.941176,1.0,0.0,4.419514,0.650909,3.391026,0.798125,,,0.781609,0.588235,0.925,0.972973,1.0,0.0,4.514277,0.71123,3.443205,0.882188,,,0.0,0.0
52,mixed,507.5,0.072906,0.011823,0.666667,0.787192,0.38423,0.918567,0.85461,1.0,0.273859,4.497006,0.89631,3.406298,0.908653,3.503774,0.777986,0.787192,0.48811,0.951282,0.894879,1.0,0.033133,4.742774,0.926626,3.541837,0.983426,5.258183,0.295534,0.065025,0.010837
53,lvo,70.0,0.235714,0.05,0.714286,0.614286,0.77907,0.985075,0.939394,1.0,0.532258,4.51921,0.579265,2.765054,1.039458,3.68897,0.553295,0.614286,0.895349,0.987013,0.921053,1.0,0.1,4.670663,0.670295,2.841767,1.114106,,,0.235714,0.05
53,nlvo,276.0,0.047101,0.0,,0.603261,0.513514,0.912281,0.75641,1.0,0.220339,4.680926,0.55792,3.513769,1.116428,3.476737,0.378591,0.603261,0.636637,0.933962,0.843434,1.0,0.0,4.867936,0.631999,3.674926,1.173147,,,0.047101,0.0
53,other,37.5,0.0,0.0,,0.693333,0.692308,0.944444,0.794118,1.0,0.0,4.713676,0.437543,3.173972,1.187103,,,0.693333,0.769231,0.95,0.973684,1.0,0.0,4.801447,0.494098,3.217883,1.169168,,,0.0,0.0
53,mixed,383.5,0.076923,0.009126,0.714286,0.614081,0.581741,0.934307,0.808594,1.0,0.285024,4.645685,0.552099,3.275612,1.148455,3.595443,0.491911,0.614081,0.698514,0.948328,0.878205,1.0,0.025547,4.813682,0.629922,3.416312,1.209052,,,0.076923,0.009126
54,lvo,139.5,0.207885,0.028674,0.875,0.899642,0.52988,0.992481,0.94697,1.0,0.456,4.75282,0.400491,2.906381,0.764074,3.38442,0.470609,0.899642,0.601594,0.993377,0.966667,1.0,0.055172,4.8616,0.480057,2.958987,0.824525,,,0.204301,0.028674
54,nlvo,663.0,0.074661,0.0,,0.881599,0.302823,0.980226,0.867435,1.0,0.318937,4.740846,0.478661,3.245868,0.843225,3.410741,0.499873,0.881599,0.422583,0.991903,0.883673,1.0,0.0,5.006125,0.588201,3.342894,0.958688,,,0.072398,0.0
54,other,106.0,0.0,0.0,,0.872642,0.535135,1.0,0.888889,1.0,0.0,4.742984,0.449676,3.309019,0.890384,,,0.872642,0.621622,1.0,0.965217,1.0,0.0,4.873319,0.53072,3.325877,0.858533,,,0.0,0.0
54,mixed,908.5,0.086406,0.004403,0.875,0.883324,0.365109,0.986348,0.889273,1.0,0.297665,4.743925,0.456446,3.179154,0.846261,3.400935,0.487779,0.883324,0.47352,0.993421,0.912583,1.0,0.011611,4.957315,0.563045,3.264029,0.930046,,,0.084205,0.004403
55,lvo,38.0,0.263158,0.013158,1.0,0.723684,0.854545,1.0,0.93617,1.0,0.454545,4.525813,0.50782,3.507417,0.717651,3.797246,0.980172,0.723684,0.927273,1.0,0.960784,1.0,0.020408,4.617261,0.581935,3.518759,0.700041,,,0.263158,0.013158
