,stroke_type,admissions,proportion_of_all_with_ivt,proportion_of_all_with_mt,proportion_of_mt_with_ivt,proportion1_of_all_with_onset_known_ivt,proportion2_of_mask1_with_onset_to_arrival_on_time_ivt,proportion3_of_mask2_with_arrival_to_scan_on_time_ivt,proportion4_of_mask3_with_onset_to_scan_on_time_ivt,proportion5_of_mask4_with_enough_time_to_treat_ivt,proportion6_of_mask5_with_treated_ivt,lognorm_mu_onset_arrival_mins_ivt,lognorm_sigma_onset_arrival_mins_ivt,lognorm_mu_arrival_scan_arrival_mins_ivt,lognorm_sigma_arrival_scan_arrival_mins_ivt,lognorm_mu_scan_needle_mins_ivt,lognorm_sigma_scan_needle_mins_ivt,proportion1_of_all_with_onset_known_mt,proportion2_of_mask1_with_onset_to_arrival_on_time_mt,proportion3_of_mask2_with_arrival_to_scan_on_time_mt,proportion4_of_mask3_with_onset_to_scan_on_time_mt,proportion5_of_mask4_with_enough_time_to_treat_mt,proportion6_of_mask5_with_treated_mt,lognorm_mu_onset_arrival_mins_mt,lognorm_sigma_onset_arrival_mins_mt,lognorm_mu_arrival_scan_arrival_mins_mt,lognorm_sigma_arrival_scan_arrival_mins_mt,lognorm_mu_scan_puncture_mins_mt,lognorm_sigma_scan_puncture_mins_mt,proportion_of_all_with_mask6_and_ivt,proportion_of_all_with_mask6_and_mt,stroke_team,scenario
99 / nlvo / base,nlvo,477.0,0.137526,0.000839,0.5,0.47631,0.726232,0.939394,0.859355,1.0,0.373874,4.59082,0.535443,3.569966,0.84685,3.304322,0.574315,0.47631,0.8125,0.960997,0.905299,1.0,0.001245,4.708584,0.611794,3.713378,0.931506,,,0.104402,0.000419,99,base
99 / other / base,other,80.2,0.0,0.0,,0.471322,0.846561,0.95625,0.843137,1.0,0.0,4.597457,0.490966,3.631634,0.838787,,,0.471322,0.899471,0.976471,0.939759,1.0,0.0,4.662423,0.54348,3.698574,0.888063,,,0.0,0.0,99,base
99 / mixed / base,mixed,666.2,0.155509,0.003002,0.6,0.478835,0.774922,0.953074,0.879457,1.0,0.368726,4.569475,0.531493,3.531098,0.815671,3.280313,0.608811,0.478835,0.84953,0.969742,0.922374,1.0,0.00495,4.66875,0.600918,3.644288,0.892599,,,0.11468,0.001801,99,base
99 / lvo / benchmark,lvo,109.0,0.324771,0.009174,0.625,0.495413,0.92963,0.996016,0.964,1.0,0.73444,4.48148,0.536125,3.349079,0.664842,3.235365,0.668592,0.495413,0.97037,0.996183,0.969349,1.0,0.019763,4.532523,0.579286,3.374961,0.689321,,,0.324771,0.009174,99,benchmark
99 / nlvo / benchmark,nlvo,477.0,0.128949,0.000419,0.5,0.47631,0.726232,0.939394,0.859355,1.0,0.461778,4.59082,0.535443,3.569966,0.84685,3.304322,0.574315,0.47631,0.8125,0.960997,0.905299,1.0,0.001245,4.708584,0.611794,3.713378,0.931506,,,0.128949,0.000419,99,benchmark
99 / other / benchmark,other,80.2,0.0,0.0,,0.471322,0.846561,0.95625,0.843137,1.0,0.0,4.597457,0.490966,3.631634,0.838787,,,0.471322,0.899471,0.976471,0.939759,1.0,0.0,4.662423,0.54348,3.698574,0.888063,,,0.0,0.0,99,benchmark
99 / mixed / benchmark,mixed,666.2,0.148304,0.001801,0.6,0.478835,0.774922,0.953074,0.879457,1.0,0.476834,4.569475,0.531493,3.531098,0.815671,3.280313,0.608811,0.478835,0.84953,0.969742,0.922374,1.0,0.00495,4.66875,0.600918,3.644288,0.892599,,,0.148304,0.001801,99,benchmark
99 / lvo / onset,lvo,109.0,0.299912,0.011275,0.625,0.608843,0.92963,0.996016,0.964,1.0,0.551867,4.48148,0.536125,3.349079,0.664842,3.235365,0.668592,0.608843,0.97037,0.996183,0.969349,1.0,0.019763,4.532523,0.579286,3.374961,0.689321,,,0.299912,0.011275,99,onset
99 / nlvo / onset,nlvo,477.0,0.13097,0.000526,0.5,0.597516,0.726232,0.939394,0.859355,1.0,0.373874,4.59082,0.535443,3.569966,0.84685,3.304322,0.574315,0.597516,0.8125,0.960997,0.905299,1.0,0.001245,4.708584,0.611794,3.713378,0.931506,,,0.13097,0.000526,99,onset
99 / other / onset,other,80.2,0.0,0.0,,0.608578,0.846561,0.95625,0.843137,1.0,0.0,4.597457,0.490966,3.631634,0.838787,,,0.608578,0.899471,0.976471,0.939759,1.0,0.0,4.662423,0.54348,3.698574,0.888063,,,0.0,0.0,99,onset
