,stroke_type,admissions,proportion_of_all_with_ivt,proportion_of_all_with_mt,proportion_of_mt_with_ivt,proportion1_of_all_with_onset_known_ivt,proportion2_of_mask1_with_onset_to_arrival_on_time_ivt,proportion3_of_mask2_with_arrival_to_scan_on_time_ivt,proportion4_of_mask3_with_onset_to_scan_on_time_ivt,proportion5_of_mask4_with_enough_time_to_treat_ivt,proportion6_of_mask5_with_treated_ivt,lognorm_mu_onset_arrival_mins_ivt,lognorm_sigma_onset_arrival_mins_ivt,lognorm_mu_arrival_scan_arrival_mins_ivt,lognorm_sigma_arrival_scan_arrival_mins_ivt,lognorm_mu_scan_needle_mins_ivt,lognorm_sigma_scan_needle_mins_ivt,proportion1_of_all_with_onset_known_mt,proportion2_of_mask1_with_onset_to_arrival_on_time_mt,proportion3_of_mask2_with_arrival_to_scan_on_time_mt,proportion4_of_mask3_with_onset_to_scan_on_time_mt,proportion5_of_mask4_with_enough_time_to_treat_mt,proportion6_of_mask5_with_treated_mt,lognorm_mu_onset_arrival_mins_mt,lognorm_sigma_onset_arrival_mins_mt,lognorm_mu_arrival_scan_arrival_mins_mt,lognorm_sigma_arrival_scan_arrival_mins_mt,lognorm_mu_scan_puncture_mins_mt,lognorm_sigma_scan_puncture_mins_mt,proportion_of_all_with_mask6_and_ivt,proportion_of_all_with_mask6_and_mt,stroke_team,scenario
50 / other / base,other,69.6,0.0,0.0,,0.281609,0.785714,0.974026,0.866667,1.0,0.0,4.54146,0.528019,3.476453,0.736335,,,0.281609,0.857143,0.988095,0.915663,1.0,0.0,4.637871,0.600206,3.579728,0.813178,,,0.0,0.0,50,base
50 / mixed / base,mixed,520.6,0.149059,0.017672,0.630435,0.257011,0.859492,0.989565,0.942004,1.0,0.70709,4.519524,0.541006,3.278853,0.729375,3.452362,0.740085,0.257011,0.896861,0.995,0.964824,1.0,0.053819,4.56901,0.581097,3.340315,0.801563,5.268905,0.641325,0.145601,0.011909,50,base
50 / lvo / benchmark,lvo,111.4,0.337522,0.044883,0.638889,0.40754,0.960352,0.995413,0.967742,1.0,0.895238,4.492401,0.489972,3.018673,0.599106,3.447399,0.731957,0.40754,0.964758,0.995434,0.995413,1.0,0.115207,4.498409,0.496866,3.022771,0.600778,5.230911,0.675007,0.337522,0.044883,50,benchmark
50 / nlvo / benchmark,nlvo,339.6,0.108097,0.003533,0.6,0.202591,0.813953,0.989286,0.942238,1.0,0.703252,4.534609,0.581854,3.429174,0.762911,3.457458,0.750271,0.202591,0.863372,0.996633,0.956081,1.0,0.021201,4.601594,0.628011,3.507049,0.854535,,,0.108097,0.003533,50,benchmark
50 / other / benchmark,other,69.6,0.0,0.0,,0.281609,0.785714,0.974026,0.866667,1.0,0.0,4.54146,0.528019,3.476453,0.736335,,,0.281609,0.857143,0.988095,0.915663,1.0,0.0,4.637871,0.600206,3.579728,0.813178,,,0.0,0.0,50,benchmark
50 / mixed / benchmark,mixed,520.6,0.14368,0.011909,0.630435,0.257011,0.859492,0.989565,0.942004,1.0,0.697761,4.519524,0.541006,3.278853,0.729375,3.452362,0.740085,0.257011,0.896861,0.995,0.964824,1.0,0.053819,4.56901,0.581097,3.340315,0.801563,5.268905,0.641325,0.14368,0.011909,50,benchmark
50 / lvo / onset,lvo,111.4,0.514969,0.067053,0.638889,0.608843,0.960352,0.995413,0.967742,1.0,0.914286,4.492401,0.489972,3.018673,0.599106,3.447399,0.731957,0.608843,0.964758,0.995434,0.995413,1.0,0.115207,4.498409,0.496866,3.022771,0.600778,5.230911,0.675007,0.514969,0.067053,50,onset
50 / nlvo / onset,nlvo,339.6,0.324813,0.010422,0.6,0.597516,0.813953,0.989286,0.942238,1.0,0.716475,4.534609,0.581854,3.429174,0.762911,3.457458,0.750271,0.597516,0.863372,0.996633,0.956081,1.0,0.021201,4.601594,0.628011,3.507049,0.854535,,,0.324813,0.010422,50,onset
50 / other / onset,other,69.6,0.0,0.0,,0.608578,0.785714,0.974026,0.866667,1.0,0.0,4.54146,0.528019,3.476453,0.736335,,,0.608578,0.857143,0.988095,0.915663,1.0,0.0,4.637871,0.600206,3.579728,0.813178,,,0.0,0.0,50,onset
50 / mixed / onset,mixed,520.6,0.344693,0.028194,0.630435,0.608442,0.859492,0.989565,0.942004,1.0,0.70709,4.519524,0.541006,3.278853,0.729375,3.452362,0.740085,0.608442,0.896861,0.995,0.964824,1.0,0.053819,4.56901,0.581097,3.340315,0.801563,5.268905,0.641325,0.344693,0.028194,50,onset
50 / lvo / speed,lvo,111.4,0.328977,0.042835,0.638889,0.40754,0.960352,0.95,0.967742,1.0,0.914286,4.492401,0.489972,2.70805,0.0,3.447399,0.731957,0.40754,0.964758,0.95,0.995413,1.0,0.115207,4.498409,0.496866,2.70805,0.0,5.230911,0.675007,0.328977,0.042835,50,speed
50 / nlvo / speed,nlvo,339.6,0.105756,0.003368,0.6,0.202591,0.813953,0.95,0.942238,1.0,0.716475,4.534609,0.581854,2.70805,0.0,3.457458,0.750271,0.202591,0.863372,0.95,0.956081,1.0,0.021201,4.601594,0.628011,2.70805,0.0,,,0.105756,0.003368,50,speed
50 / other / speed,other,69.6,0.0,0.0,,0.281609,0.785714,0.95,0.866667,1.0,0.0,4.54146,0.528019,2.70805,0.0,,,0.281609,0.857143,0.95,0.915663,1.0,0.0,4.637871,0.600206,2.70805,0.0,,,0.0,0.0,50,speed
50 / mixed / speed,mixed,520.6,0.13978,0.011371,0.630435,0.257011,0.859492,0.95,0.942004,1.0,0.70709,4.519524,0.541006,2.70805,0.0,3.452362,0.740085,0.257011,0.896861,0.95,0.964824,1.0,0.053819,4.56901,0.581097,2.70805,0.0,5.268905,0.641325,0.13978,0.011371,50,speed
50 / lvo / onset + benchmark,lvo,111.4,0.50424,0.067053,0.638889,0.608843,0.960352,0.995413,0.967742,1.0,0.895238,4.492401,0.489972,3.018673,0.599106,3.447399,0.731957,0.608843,0.964758,0.995434,0.995413,1.0,0.115207,4.498409,0.496866,3.022771,0.600778,5.230911,0.675007,0.50424,0.067053,50,onset + benchmark
50 / nlvo / onset + benchmark,nlvo,339.6,0.318818,0.010422,0.6,0.597516,0.813953,0.989286,0.942238,1.0,0.703252,4.534609,0.581854,3.429174,0.762911,3.457458,0.750271,0.597516,0.863372,0.996633,0.956081,1.0,0.021201,4.601594,0.628011,3.507049,0.854535,,,0.318818,0.010422,50,onset + benchmark
50 / other / onset + benchmark,other,69.6,0.0,0.0,,0.608578,0.785714,0.974026,0.866667,1.0,0.0,4.54146,0.528019,3.476453,0.736335,,,0.608578,0.857143,0.988095,0.915663,1.0,0.0,4.637871,0.600206,3.579728,0.813178,,,0.0,0.0,50,onset + benchmark
50 / mixed / onset + benchmark,mixed,520.6,0.340145,0.028194,0.630435,0.608442,0.859492,0.989565,0.942004,1.0,0.697761,4.519524,0.541006,3.278853,0.729375,3.452362,0.740085,0.608442,0.896861,0.995,0.964824,1.0,0.053819,4.56901,0.581097,3.340315,0.801563,5.268905,0.641325,0.340145,0.028194,50,onset + benchmark
50 / lvo / speed + benchmark,lvo,111.4,0.322124,0.042835,0.638889,0.40754,0.960352,0.95,0.967742,1.0,0.895238,4.492401,0.489972,2.70805,0.0,3.447399,0.731957,0.40754,0.964758,0.95,0.995413,1.0,0.115207,4.498409,0.496866,2.70805,0.0,5.230911,0.675007,0.322124,0.042835,50,speed + benchmark
50 / nlvo / speed + benchmark,nlvo,339.6,0.103804,0.003368,0.6,0.202591,0.813953,0.95,0.942238,1.0,0.703252,4.534609,0.581854,2.70805,0.0,3.457458,0.750271,0.202591,0.863372,0.95,0.956081,1.0,0.021201,4.601594,0.628011,2.70805,0.0,,,0.103804,0.003368,50,speed + benchmark
50 / other / speed + benchmark,other,69.6,0.0,0.0,,0.281609,0.785714,0.95,0.866667,1.0,0.0,4.54146,0.528019,2.70805,0.0,,,0.281609,0.857143,0.95,0.915663,1.0,0.0,4.637871,0.600206,2.70805,0.0,,,0.0,0.0,50,speed + benchmark
50 / mixed / speed + benchmark,mixed,520.6,0.137936,0.011371,0.630435,0.257011,0.859492,0.95,0.942004,1.0,0.697761,4.519524,0.541006,2.70805,0.0,3.452362,0.740085,0.257011,0.896861,0.95,0.964824,1.0,0.053819,4.56901,0.581097,2.70805,0.0,5.268905,0.641325,0.137936,0.011371,50,speed + benchmark
50 / lvo / speed + onset,lvo,111.4,0.491475,0.063993,0.638889,0.608843,0.960352,0.95,0.967742,1.0,0.914286,4.492401,0.489972,2.70805,0.0,3.447399,0.731957,0.608843,0.964758,0.95,0.995413,1.0,0.115207,4.498409,0.496866,2.70805,0.0,5.230911,0.675007,0.491475,0.063993,50,speed + onset
50 / nlvo / speed + onset,nlvo,339.6,0.311914,0.009934,0.6,0.597516,0.813953,0.95,0.942238,1.0,0.716475,4.534609,0.581854,2.70805,0.0,3.457458,0.750271,0.597516,0.863372,0.95,0.956081,1.0,0.021201,4.601594,0.628011,2.70805,0.0,,,0.311914,0.009934,50,speed + onset
50 / other / speed + onset,other,69.6,0.0,0.0,,0.608578,0.785714,0.95,0.866667,1.0,0.0,4.54146,0.528019,2.70805,0.0,,,0.608578,0.857143,0.95,0.915663,1.0,0.0,4.637871,0.600206,2.70805,0.0,,,0.0,0.0,50,speed + onset
50 / mixed / speed + onset,mixed,520.6,0.330911,0.026919,0.630435,0.608442,0.859492,0.95,0.942004,1.0,0.70709,4.519524,0.541006,2.70805,0.0,3.452362,0.740085,0.608442,0.896861,0.95,0.964824,1.0,0.053819,4.56901,0.581097,2.70805,0.0,5.268905,0.641325,0.330911,0.026919,50,speed + onset
50 / lvo / speed + onset + benchmark,lvo,111.4,0.481235,0.063993,0.638889,0.608843,0.960352,0.95,0.967742,1.0,0.895238,4.492401,0.489972,2.70805,0.0,3.447399,0.731957,0.608843,0.964758,0.95,0.995413,1.0,0.115207,4.498409,0.496866,2.70805,0.0,5.230911,0.675007,0.481235,0.063993,50,speed + onset + benchmark
50 / nlvo / speed + onset + benchmark,nlvo,339.6,0.306157,0.009934,0.6,0.597516,0.813953,0.95,0.942238,1.0,0.703252,4.534609,0.581854,2.70805,0.0,3.457458,0.750271,0.597516,0.863372,0.95,0.956081,1.0,0.021201,4.601594,0.628011,2.70805,0.0,,,0.306157,0.009934,50,speed + onset + benchmark
50 / other / speed + onset + benchmark,other,69.6,0.0,0.0,,0.608578,0.785714,0.95,0.866667,1.0,0.0,4.54146,0.528019,2.70805,0.0,,,0.608578,0.857143,0.95,0.915663,1.0,0.0,4.637871,0.600206,2.70805,0.0,,,0.0,0.0,50,speed + onset + benchmark
50 / mixed / speed + onset + benchmark,mixed,520.6,0.326546,0.026919,0.630435,0.608442,0.859492,0.95,0.942004,1.0,0.697761,4.519524,0.541006,2.70805,0.0,3.452362,0.740085,0.608442,0.896861,0.95,0.964824,1.0,0.053819,4.56901,0.581097,2.70805,0.0,5.268905,0.641325,0.326546,0.026919,50,speed + onset + benchmark
51 / lvo / base,lvo,110.8,0.465704,0.070397,0.769231,0.480144,0.93985,0.988,0.967611,1.0,0.694561,4.378264,0.461369,3.306294,0.918475,3.242291,0.999406,0.480144,0.973684,0.992278,0.992218,1.0,0.137255,4.421726,0.508381,3.286354,0.957232,4.966198,0.884852,0.299639,0.063177,51,base
51 / nlvo / base,nlvo,243.4,0.156122,0.013147,0.75,0.457683,0.775583,0.969907,0.861575,1.0,0.362881,4.50937,0.542727,3.656181,0.979831,3.238017,1.072745,0.457683,0.867145,0.985507,0.941176,1.0,0.03125,4.630689,0.624142,3.691622,1.042007,5.281573,0.803346,0.107642,0.011504,51,base
51 / other / base,other,51.2,0.0,0.0,,0.417969,0.82243,0.977273,0.930233,1.0,0.0,4.340323,0.484371,3.515934,0.763221,,,0.417969,0.869159,0.967742,0.966667,1.0,0.0,4.412788,0.562063,3.55823,0.776355,,,0.0,0.0,51,base
51 / mixed / base,mixed,405.4,0.221016,0.027134,0.763636,0.458806,0.827957,0.976623,0.904255,1.0,0.436765,4.447483,0.515342,3.525219,0.949721,3.240406,1.030624,0.458806,0.897849,0.985629,0.959903,1.0,0.062025,4.541604,0.592324,3.550481,1.005687,5.056305,0.866087,0.146522,0.024174,51,base
51 / lvo / benchmark,lvo,110.8,0.337545,0.063177,0.769231,0.480144,0.93985,0.988,0.967611,1.0,0.782427,4.378264,0.461369,3.306294,0.918475,3.242291,0.999406,0.480144,0.973684,0.992278,0.992218,1.0,0.137255,4.421726,0.508381,3.286354,0.957232,4.966198,0.884852,0.337545,0.063177,51,benchmark
51 / nlvo / benchmark,nlvo,243.4,0.135776,0.011504,0.75,0.457683,0.775583,0.969907,0.861575,1.0,0.457726,4.50937,0.542727,3.656181,0.979831,3.238017,1.072745,0.457683,0.867145,0.985507,0.941176,1.0,0.03125,4.630689,0.624142,3.691622,1.042007,5.281573,0.803346,0.135776,0.011504,51,benchmark
51 / other / benchmark,other,51.2,0.0,0.0,,0.417969,0.82243,0.977273,0.930233,1.0,0.0,4.340323,0.484371,3.515934,0.763221,,,0.417969,0.869159,0.967742,0.966667,1.0,0.0,4.412788,0.562063,3.55823,0.776355,,,0.0,0.0,51,benchmark
51 / mixed / benchmark,mixed,405.4,0.177602,0.024174,0.763636,0.458806,0.827957,0.976623,0.904255,1.0,0.529412,4.447483,0.515342,3.525219,0.949721,3.240406,1.030624,0.458806,0.897849,0.985629,0.959903,1.0,0.062025,4.541604,0.592324,3.550481,1.005687,5.056305,0.866087,0.177602,0.024174,51,benchmark
51 / lvo / onset,lvo,110.8,0.379955,0.080111,0.769231,0.608843,0.93985,0.988,0.967611,1.0,0.694561,4.378264,0.461369,3.306294,0.918475,3.242291,0.999406,0.608843,0.973684,0.992278,0.992218,1.0,0.137255,4.421726,0.508381,3.286354,0.957232,4.966198,0.884852,0.379955,0.080111,51,onset
51 / nlvo / onset,nlvo,243.4,0.140529,0.015018,0.75,0.597516,0.775583,0.969907,0.861575,1.0,0.362881,4.50937,0.542727,3.656181,0.979831,3.238017,1.072745,0.597516,0.867145,0.985507,0.941176,1.0,0.03125,4.630689,0.624142,3.691622,1.042007,5.281573,0.803346,0.140529,0.015018,51,onset
51 / other / onset,other,51.2,0.0,0.0,,0.608578,0.82243,0.977273,0.930233,1.0,0.0,4.340323,0.484371,3.515934,0.763221,,,0.608578,0.869159,0.967742,0.966667,1.0,0.0,4.412788,0.562063,3.55823,0.776355,,,0.0,0.0,51,onset
51 / mixed / onset,mixed,405.4,0.194309,0.032058,0.763636,0.608442,0.827957,0.976623,0.904255,1.0,0.436765,4.447483,0.515342,3.525219,0.949721,3.240406,1.030624,0.608442,0.897849,0.985629,0.959903,1.0,0.062025,4.541604,0.592324,3.550481,1.005687,5.056305,0.866087,0.194309,0.032058,51,onset
51 / lvo / speed,lvo,110.8,0.288114,0.060485,0.769231,0.480144,0.93985,0.95,0.967611,1.0,0.694561,4.378264,0.461369,2.70805,0.0,3.242291,0.999406,0.480144,0.973684,0.95,0.992218,1.0,0.137255,4.421726,0.508381,2.70805,0.0,4.966198,0.884852,0.288114,0.060485,51,speed
51 / nlvo / speed,nlvo,243.4,0.105432,0.011089,0.75,0.457683,0.775583,0.95,0.861575,1.0,0.362881,4.50937,0.542727,2.70805,0.0,3.238017,1.072745,0.457683,0.867145,0.95,0.941176,1.0,0.03125,4.630689,0.624142,2.70805,0.0,5.281573,0.803346,0.105432,0.011089,51,speed
51 / other / speed,other,51.2,0.0,0.0,,0.417969,0.82243,0.95,0.930233,1.0,0.0,4.340323,0.484371,2.70805,0.0,,,0.417969,0.869159,0.95,0.966667,1.0,0.0,4.412788,0.562063,2.70805,0.0,,,0.0,0.0,51,speed
51 / mixed / speed,mixed,405.4,0.142528,0.0233,0.763636,0.458806,0.827957,0.95,0.904255,1.0,0.436765,4.447483,0.515342,2.70805,0.0,3.240406,1.030624,0.458806,0.897849,0.95,0.959903,1.0,0.062025,4.541604,0.592324,2.70805,0.0,5.056305,0.866087,0.142528,0.0233,51,speed
51 / lvo / onset + benchmark,lvo,110.8,0.428021,0.080111,0.769231,0.608843,0.93985,0.988,0.967611,1.0,0.782427,4.378264,0.461369,3.306294,0.918475,3.242291,0.999406,0.608843,0.973684,0.992278,0.992218,1.0,0.137255,4.421726,0.508381,3.286354,0.957232,4.966198,0.884852,0.428021,0.080111,51,onset + benchmark
51 / nlvo / onset + benchmark,nlvo,243.4,0.177258,0.015018,0.75,0.597516,0.775583,0.969907,0.861575,1.0,0.457726,4.50937,0.542727,3.656181,0.979831,3.238017,1.072745,0.597516,0.867145,0.985507,0.941176,1.0,0.03125,4.630689,0.624142,3.691622,1.042007,5.281573,0.803346,0.177258,0.015018,51,onset + benchmark
51 / other / onset + benchmark,other,51.2,0.0,0.0,,0.608578,0.82243,0.977273,0.930233,1.0,0.0,4.340323,0.484371,3.515934,0.763221,,,0.608578,0.869159,0.967742,0.966667,1.0,0.0,4.412788,0.562063,3.55823,0.776355,,,0.0,0.0,51,onset + benchmark
51 / mixed / onset + benchmark,mixed,405.4,0.235526,0.032058,0.763636,0.608442,0.827957,0.976623,0.904255,1.0,0.529412,4.447483,0.515342,3.525219,0.949721,3.240406,1.030624,0.608442,0.897849,0.985629,0.959903,1.0,0.062025,4.541604,0.592324,3.550481,1.005687,5.056305,0.866087,0.235526,0.032058,51,onset + benchmark
51 / lvo / speed + benchmark,lvo,110.8,0.324562,0.060485,0.769231,0.480144,0.93985,0.95,0.967611,1.0,0.782427,4.378264,0.461369,2.70805,0.0,3.242291,0.999406,0.480144,0.973684,0.95,0.992218,1.0,0.137255,4.421726,0.508381,2.70805,0.0,4.966198,0.884852,0.324562,0.060485,51,speed + benchmark
51 / nlvo / speed + benchmark,nlvo,243.4,0.132989,0.011089,0.75,0.457683,0.775583,0.95,0.861575,1.0,0.457726,4.50937,0.542727,2.70805,0.0,3.238017,1.072745,0.457683,0.867145,0.95,0.941176,1.0,0.03125,4.630689,0.624142,2.70805,0.0,5.281573,0.803346,0.132989,0.011089,51,speed + benchmark
51 / other / speed + benchmark,other,51.2,0.0,0.0,,0.417969,0.82243,0.95,0.930233,1.0,0.0,4.340323,0.484371,2.70805,0.0,,,0.417969,0.869159,0.95,0.966667,1.0,0.0,4.412788,0.562063,2.70805,0.0,,,0.0,0.0,51,speed + benchmark
51 / mixed / speed + benchmark,mixed,405.4,0.172761,0.0233,0.763636,0.458806,0.827957,0.95,0.904255,1.0,0.529412,4.447483,0.515342,2.70805,0.0,3.240406,1.030624,0.458806,0.897849,0.95,0.959903,1.0,0.062025,4.541604,0.592324,2.70805,0.0,5.056305,0.866087,0.172761,0.0233,51,speed + benchmark
51 / lvo / speed + onset,lvo,110.8,0.365341,0.076698,0.769231,0.608843,0.93985,0.95,0.967611,1.0,0.694561,4.378264,0.461369,2.70805,0.0,3.242291,0.999406,0.608843,0.973684,0.95,0.992218,1.0,0.137255,4.421726,0.508381,2.70805,0.0,4.966198,0.884852,0.365341,0.076698,51,speed + onset
51 / nlvo / speed + onset,nlvo,243.4,0.137645,0.014477,0.75,0.597516,0.775583,0.95,0.861575,1.0,0.362881,4.50937,0.542727,2.70805,0.0,3.238017,1.072745,0.597516,0.867145,0.95,0.941176,1.0,0.03125,4.630689,0.624142,2.70805,0.0,5.281573,0.803346,0.137645,0.014477,51,speed + onset
51 / other / speed + onset,other,51.2,0.0,0.0,,0.608578,0.82243,0.95,0.930233,1.0,0.0,4.340323,0.484371,2.70805,0.0,,,0.608578,0.869159,0.95,0.966667,1.0,0.0,4.412788,0.562063,2.70805,0.0,,,0.0,0.0,51,speed + onset
51 / mixed / speed + onset,mixed,405.4,0.189012,0.030899,0.763636,0.608442,0.827957,0.95,0.904255,1.0,0.436765,4.447483,0.515342,2.70805,0.0,3.240406,1.030624,0.608442,0.897849,0.95,0.959903,1.0,0.062025,4.541604,0.592324,2.70805,0.0,5.056305,0.866087,0.189012,0.030899,51,speed + onset
51 / lvo / speed + onset + benchmark,lvo,110.8,0.411559,0.076698,0.769231,0.608843,0.93985,0.95,0.967611,1.0,0.782427,4.378264,0.461369,2.70805,0.0,3.242291,0.999406,0.608843,0.973684,0.95,0.992218,1.0,0.137255,4.421726,0.508381,2.70805,0.0,4.966198,0.884852,0.411559,0.076698,51,speed + onset + benchmark
51 / nlvo / speed + onset + benchmark,nlvo,243.4,0.17362,0.014477,0.75,0.597516,0.775583,0.95,0.861575,1.0,0.457726,4.50937,0.542727,2.70805,0.0,3.238017,1.072745,0.597516,0.867145,0.95,0.941176,1.0,0.03125,4.630689,0.624142,2.70805,0.0,5.281573,0.803346,0.17362,0.014477,51,speed + onset + benchmark
51 / other / speed + onset + benchmark,other,51.2,0.0,0.0,,0.608578,0.82243,0.95,0.930233,1.0,0.0,4.340323,0.484371,2.70805,0.0,,,0.608578,0.869159,0.95,0.966667,1.0,0.0,4.412788,0.562063,2.70805,0.0,,,0.0,0.0,51,speed + onset + benchmark
51 / mixed / speed + onset + benchmark,mixed,405.4,0.229105,0.030899,0.763636,0.608442,0.827957,0.95,0.904255,1.0,0.529412,4.447483,0.515342,2.70805,0.0,3.240406,1.030624,0.608442,0.897849,0.95,0.959903,1.0,0.062025,4.541604,0.592324,2.70805,0.0,5.056305,0.866087,0.229105,0.030899,51,speed + onset + benchmark
52 / lvo / base,lvo,68.6,0.303207,0.020408,0.571429,0.606414,0.903846,0.978723,0.945652,1.0,0.482759,4.489296,0.452804,3.186657,1.312459,3.645274,0.567021,0.606414,0.942308,0.989796,0.974227,1.0,0.031746,4.536309,0.499285,3.240138,1.31356,,,0.244898,0.017493,52,base
52 / nlvo / base,nlvo,250.0,0.1072,0.0008,0.0,0.6152,0.638492,0.93279,0.844978,1.0,0.320413,4.646091,0.607279,3.549723,1.168958,3.690757,0.596068,0.6152,0.725618,0.964158,0.8829,1.0,0.002105,4.772172,0.665591,3.688391,1.224611,,,0.0992,0.0008,52,base
52 / other / base,other,47.6,0.0,0.0,,0.672269,0.80625,0.945736,0.909836,1.0,0.0,4.487032,0.716218,3.51256,1.112,,,0.672269,0.8625,0.963768,0.954887,1.0,0.0,4.564983,0.753266,3.58488,1.133249,,,0.0,0.0,52,base
52 / mixed / base,mixed,366.2,0.129984,0.004369,0.5,0.620972,0.710642,0.945545,0.879581,1.0,0.309524,4.584215,0.598945,3.456348,1.204558,3.672389,0.583553,0.620972,0.784521,0.969731,0.914451,1.0,0.00885,4.688292,0.656193,3.571942,1.243749,,,0.113599,0.003823,52,base
52 / lvo / benchmark,lvo,68.6,0.349854,0.017493,0.571429,0.606414,0.903846,0.978723,0.945652,1.0,0.689655,4.489296,0.452804,3.186657,1.312459,3.645274,0.567021,0.606414,0.942308,0.989796,0.974227,1.0,0.031746,4.536309,0.499285,3.240138,1.31356,,,0.349854,0.017493,52,benchmark
52 / nlvo / benchmark,nlvo,250.0,0.145546,0.0008,0.0,0.6152,0.638492,0.93279,0.844978,1.0,0.470109,4.646091,0.607279,3.549723,1.168958,3.690757,0.596068,0.6152,0.725618,0.964158,0.8829,1.0,0.002105,4.772172,0.665591,3.688391,1.224611,,,0.145546,0.0008,52,benchmark
52 / other / benchmark,other,47.6,0.0,0.0,,0.672269,0.80625,0.945736,0.909836,1.0,0.0,4.487032,0.716218,3.51256,1.112,,,0.672269,0.8625,0.963768,0.954887,1.0,0.0,4.564983,0.753266,3.58488,1.133249,,,0.0,0.0,52,benchmark
52 / mixed / benchmark,mixed,366.2,0.169306,0.003823,0.5,0.620972,0.710642,0.945545,0.879581,1.0,0.46131,4.584215,0.598945,3.456348,1.204558,3.672389,0.583553,0.620972,0.784521,0.969731,0.914451,1.0,0.00885,4.688292,0.656193,3.571942,1.243749,,,0.169306,0.003823,52,benchmark
52 / lvo / onset,lvo,68.6,0.245879,0.017563,0.571429,0.608843,0.903846,0.978723,0.945652,1.0,0.482759,4.489296,0.452804,3.186657,1.312459,3.645274,0.567021,0.608843,0.942308,0.989796,0.974227,1.0,0.031746,4.536309,0.499285,3.240138,1.31356,,,0.245879,0.017563,52,onset
52 / nlvo / onset,nlvo,250.0,0.0992,0.0008,0.0,0.6152,0.638492,0.93279,0.844978,1.0,0.320413,4.646091,0.607279,3.549723,1.168958,3.690757,0.596068,0.6152,0.725618,0.964158,0.8829,1.0,0.002105,4.772172,0.665591,3.688391,1.224611,,,0.0992,0.0008,52,onset
52 / other / onset,other,47.6,0.0,0.0,,0.672269,0.80625,0.945736,0.909836,1.0,0.0,4.487032,0.716218,3.51256,1.112,,,0.672269,0.8625,0.963768,0.954887,1.0,0.0,4.564983,0.753266,3.58488,1.133249,,,0.0,0.0,52,onset
52 / mixed / onset,mixed,366.2,0.113599,0.003823,0.5,0.620972,0.710642,0.945545,0.879581,1.0,0.309524,4.584215,0.598945,3.456348,1.204558,3.672389,0.583553,0.620972,0.784521,0.969731,0.914451,1.0,0.00885,4.688292,0.656193,3.571942,1.243749,,,0.113599,0.003823,52,onset
52 / lvo / speed,lvo,68.6,0.237711,0.016789,0.571429,0.606414,0.903846,0.95,0.945652,1.0,0.482759,4.489296,0.452804,2.70805,0.0,3.645274,0.567021,0.606414,0.942308,0.95,0.974227,1.0,0.031746,4.536309,0.499285,2.70805,0.0,,,0.237711,0.016789,52,speed
52 / nlvo / speed,nlvo,250.0,0.10103,0.000788,0.0,0.6152,0.638492,0.95,0.844978,1.0,0.320413,4.646091,0.607279,2.70805,0.0,3.690757,0.596068,0.6152,0.725618,0.95,0.8829,1.0,0.002105,4.772172,0.665591,2.70805,0.0,,,0.10103,0.000788,52,speed
52 / other / speed,other,47.6,0.0,0.0,,0.672269,0.80625,0.95,0.909836,1.0,0.0,4.487032,0.716218,2.70805,0.0,,,0.672269,0.8625,0.95,0.954887,1.0,0.0,4.564983,0.753266,2.70805,0.0,,,0.0,0.0,52,speed
52 / mixed / speed,mixed,366.2,0.114134,0.003745,0.5,0.620972,0.710642,0.95,0.879581,1.0,0.309524,4.584215,0.598945,2.70805,0.0,3.672389,0.583553,0.620972,0.784521,0.95,0.914451,1.0,0.00885,4.688292,0.656193,2.70805,0.0,,,0.114134,0.003745,52,speed
52 / lvo / onset + benchmark,lvo,68.6,0.351255,0.017563,0.571429,0.608843,0.903846,0.978723,0.945652,1.0,0.689655,4.489296,0.452804,3.186657,1.312459,3.645274,0.567021,0.608843,0.942308,0.989796,0.974227,1.0,0.031746,4.536309,0.499285,3.240138,1.31356,,,0.351255,0.017563,52,onset + benchmark
52 / nlvo / onset + benchmark,nlvo,250.0,0.145546,0.0008,0.0,0.6152,0.638492,0.93279,0.844978,1.0,0.470109,4.646091,0.607279,3.549723,1.168958,3.690757,0.596068,0.6152,0.725618,0.964158,0.8829,1.0,0.002105,4.772172,0.665591,3.688391,1.224611,,,0.145546,0.0008,52,onset + benchmark
52 / other / onset + benchmark,other,47.6,0.0,0.0,,0.672269,0.80625,0.945736,0.909836,1.0,0.0,4.487032,0.716218,3.51256,1.112,,,0.672269,0.8625,0.963768,0.954887,1.0,0.0,4.564983,0.753266,3.58488,1.133249,,,0.0,0.0,52,onset + benchmark
52 / mixed / onset + benchmark,mixed,366.2,0.169306,0.003823,0.5,0.620972,0.710642,0.945545,0.879581,1.0,0.46131,4.584215,0.598945,3.456348,1.204558,3.672389,0.583553,0.620972,0.784521,0.969731,0.914451,1.0,0.00885,4.688292,0.656193,3.571942,1.243749,,,0.169306,0.003823,52,onset + benchmark
52 / lvo / speed + benchmark,lvo,68.6,0.339587,0.016789,0.571429,0.606414,0.903846,0.95,0.945652,1.0,0.689655,4.489296,0.452804,2.70805,0.0,3.645274,0.567021,0.606414,0.942308,0.95,0.974227,1.0,0.031746,4.536309,0.499285,2.70805,0.0,,,0.339587,0.016789,52,speed + benchmark
